-0.03,0.04,1.02,-0.03,0.05,1.01,-0.02,0.05,1.02,-0.02,0.04,1.01,-0.02,0.04,1.04,-0.01,0.05,1.03,-0.02,0.06,1.01,-0.02,0.05,1.02,-0.02,0.05,1.02,-0.01,0.05,1.02,-0.02,0.06,1.02,-0.03,0.07,1.03,-0.01,0.05,1.03,-0.02,0.06,1.02,-0.02,0.04,1.03,-0.03,0.05,1.02,-0.01,0.06,1.03,-0.02,0.05,1.02,-0.02,0.05,1.02,-0.02,0.06,1.02,-0.03,0.05,1.02,-0.02,0.04,1.01,-0.02,0.06,1.01,-0.02,0.05,1.02,-0.02,0.05,1.02,-0.02,0.06,1.02,-0.02,0.05,1.01,-0.02,0.05,1.02,-0.01,0.06,1.02,-0.02,0.05,1.03,-0.02,0.06,1.04,-0.02,0.05,1.02
-0.02,0.04,1.03,-0.02,0.04,1.02,-0.02,0.05,1.02,-0.03,0.06,1.03,-0.02,0.06,1.02,-0.02,0.05,1.03,-0.01,0.05,1.02,-0.03,0.05,1.02,-0.02,0.04,1.02,-0.01,0.06,1.03,-0.01,0.05,1.02,-0.02,0.04,1.02,-0.02,0.05,1.02,-0.01,0.05,1.02,-0.03,0.05,1.03,-0.02,0.05,1.02,-0.02,0.05,1.02,-0.02,0.04,1.01,-0.01,0.06,1.02,-0.01,0.06,1.02,-0.02,0.05,1.02,-0.01,0.05,1.02,-0.01,0.05,1.03,-0.01,0.05,1.02,-0.01,0.04,1.02,-0.04,0.04,1.03,-0.0,0.04,1.02,-0.02,0.05,1.03,-0.02,0.05,1.03,-0.02,0.06,1.02,-0.03,0.05,1.01,-0.01,0.05,1.03
-0.04,-0.54,1.08,-0.22,-0.21,1.19,-0.35,-0.01,0.91,-0.42,0.28,0.93,-0.27,0.41,0.95,-0.07,0.53,1.01,0.16,0.69,1.07,0.31,0.78,1.15,0.42,0.34,0.78,0.34,-0.04,0.83,0.4,-0.4,1.05,0.44,-0.78,1.11,0.09,-0.62,1.25,-0.04,-0.54,1.18,-0.21,-0.27,1.21,-0.32,-0.05,1.05,-0.47,0.07,0.75,-0.4,0.14,0.7,-0.21,0.37,0.96,-0.02,0.53,1.02,0.04,0.69,1.04,0.2,0.59,1.01,0.37,0.31,0.92,0.44,-0.08,0.99,0.43,-0.31,0.99,0.35,-0.54,1.07,0.11,-0.79,1.18,-0.05,-0.6,1.17,-0.28,-0.26,1.1,-0.44,-0.05,1.02,-0.46,0.19,1.13,-0.27,0.4,0.97
-0.03,0.05,1.03,-0.01,0.06,1.03,-0.02,0.05,1.02,-0.01,0.06,1.02,-0.02,0.07,1.02,-0.01,0.06,1.04,-0.01,0.07,1.02,-0.03,0.06,1.02,-0.02,0.05,1.02,-0.02,0.05,1.02,-0.03,0.06,1.02,-0.01,0.05,1.02,-0.03,0.04,1.03,-0.03,0.05,1.02,-0.03,0.06,1.03,-0.01,0.06,1.03,-0.03,0.05,1.03,-0.02,0.06,1.03,-0.02,0.06,1.03,-0.02,0.06,1.01,-0.01,0.06,1.04,-0.05,0.06,1.03,-0.04,0.05,1.02,-0.02,0.07,1.04,-0.02,0.06,1.04,-0.03,0.08,1.04,-0.01,0.05,1.0,-0.02,0.06,1.05,-0.01,0.06,1.04,-0.03,0.06,1.04,0.0,0.04,1.02,-0.02,0.06,1.05
-0.1,0.29,1.04,-0.07,0.21,1.09,0.07,0.12,1.05,-2.0,1.3,-2.0,0.84,0.15,1.88,0.11,-0.09,0.73,1.1,0.27,1.73,-0.0,0.01,1.03,0.01,0.01,1.03,0.0,0.01,1.02,0.02,0.02,1.03,0.01,0.01,1.03,0.01,0.01,1.02,0.01,0.02,1.03,0.0,0.01,1.01,-0.0,0.02,1.03,0.0,0.02,1.03,0.0,0.02,1.04,0.01,0.01,1.02,0.01,0.04,1.0,0.01,0.01,1.02,-0.01,-0.07,0.96,0.03,0.06,1.03,-0.01,0.01,1.03,0.02,0.02,1.02,0.02,-0.03,1.01,-0.04,-0.85,1.33,0.28,-1.07,1.63,1.86,2.0,-1.53,0.0,0.66,0.65,0.0,0.5,1.15,-0.39,0.28,1.41
-0.02,0.05,1.01,-0.02,0.06,1.01,-0.04,0.05,1.03,-0.02,0.05,1.03,-0.01,0.05,1.02,-0.02,0.06,1.02,-0.01,0.05,1.01,-0.02,0.05,1.02,-0.02,0.05,1.02,-0.02,0.06,1.02,-0.01,0.05,1.03,-0.03,0.05,1.03,-0.02,0.04,1.01,-0.02,0.05,1.02,-0.03,0.05,1.03,-0.01,0.06,1.03,-0.01,0.04,1.04,-0.02,0.06,1.03,-0.02,0.05,1.02,-0.02,0.05,1.03,-0.01,0.05,1.02,-0.01,0.05,1.04,-0.02,0.05,1.02,-0.02,0.05,1.02,-0.01,0.06,1.03,-0.02,0.05,1.02,-0.03,0.04,1.03,-0.01,0.06,1.02,-0.0,0.05,1.01,-0.02,0.06,1.03,-0.02,0.05,1.01,-0.01,0.05,1.02
-0.03,0.06,1.03,-0.01,0.05,1.01,-0.02,0.04,1.0,-0.02,0.05,1.03,-0.02,0.05,1.03,-0.02,0.05,1.03,-0.02,0.04,1.02,-0.03,0.05,1.02,-0.03,0.06,1.03,-0.02,0.06,1.01,-0.02,0.05,1.02,-0.03,0.06,1.02,-0.02,0.04,1.02,-0.02,0.05,1.02,-0.02,0.05,1.02,-0.02,0.04,1.02,-0.01,0.05,1.02,-0.03,0.04,1.02,-0.03,0.04,1.02,-0.02,0.05,1.01,-0.03,0.05,1.03,-0.02,0.04,1.02,-0.01,0.05,1.02,-0.03,0.05,1.02,-0.02,0.04,1.03,-0.01,0.06,1.03,-0.02,0.06,1.02,-0.03,0.06,1.01,-0.02,0.05,1.02,-0.03,0.05,1.02,-0.01,0.04,1.03,-0.03,0.06,1.01
1.24,0.19,-1.44,1.07,-0.05,-1.18,0.46,-0.05,-0.24,0.44,-0.07,0.02,0.57,-0.03,-1.01,0.91,0.03,-1.86,0.7,-0.17,-1.15,0.26,0.07,0.08,0.18,0.04,0.32,0.68,0.02,-1.14,0.94,-0.08,-1.92,0.67,-0.17,-1.23,0.39,-0.02,-0.3,0.21,-0.05,0.08,0.43,-0.02,-0.76,0.83,-0.17,-1.84,0.57,-0.14,-1.38,0.27,-0.02,-0.16,0.06,-0.09,0.24,0.46,0.08,-0.83,0.88,0.0,-1.93,0.63,-0.19,-1.58,0.24,-0.14,-0.42,0.21,0.1,0.33,0.27,-0.43,-0.92,0.27,-0.39,-1.35,0.79,-0.28,-2.0,0.32,-0.1,-1.13,0.16,0.3,0.04,0.1,0.24,0.18,0.1,-0.08,-0.91,0.36,-0.59,-1.92
0.37,-0.06,0.32,-0.04,-0.1,0.21,0.39,0.2,0.4,1.72,0.12,-0.27,2.0,-0.1,-0.47,1.49,-0.24,-0.32,0.61,-0.01,0.12,0.05,-0.02,0.36,-0.12,-0.02,0.61,1.46,0.02,-0.3,2.0,-0.14,-0.57,1.68,-0.46,-0.46,0.59,-0.18,0.09,-0.18,-0.03,0.68,0.21,0.05,0.49,1.36,0.21,-0.51,2.0,0.04,-1.01,1.19,0.09,-0.41,0.28,0.06,0.26,0.19,-0.03,0.47,0.75,0.3,-0.52,1.45,0.27,-1.29,1.23,-0.14,-1.38,0.74,-0.15,-0.64,0.41,-0.21,0.22,0.18,0.01,0.63,0.96,0.1,-0.8,1.56,-0.08,-1.63,0.95,-0.21,-0.92,0.64,-0.13,0.06,0.16,-0.03,0.75,0.56,0.22,-0.35
-0.01,0.04,1.03,-0.02,0.05,1.01,-0.02,0.06,1.02,-0.02,0.05,1.03,-0.02,0.06,1.03,-0.02,0.05,1.01,-0.01,0.05,1.02,-0.01,0.04,1.02,-0.02,0.06,1.02,-0.02,0.05,1.03,-0.02,0.05,1.02,-0.02,0.05,1.01,-0.02,0.04,1.03,-0.02,0.06,1.02,-0.0,0.05,1.02,-0.03,0.06,1.03,-0.02,0.04,1.01,-0.02,0.05,1.03,-0.03,0.05,1.02,-0.02,0.05,1.03,-0.01,0.05,1.02,-0.01,0.06,1.02,-0.03,0.06,1.04,-0.02,0.03,1.03,-0.02,0.05,1.03,-0.03,0.05,1.02,-0.02,0.06,1.02,-0.02,0.05,1.02,-0.03,0.06,1.03,-0.01,0.05,1.02,-0.02,0.05,1.02,-0.03,0.05,1.01
